('Delta Air Lines', '2020-09-11T10:57', '2020-09-12T02:04', '907', '7183', '500', 'DL 144', 'E-170', '240', '6', '13'), 
('JetBlue Airways', '2020-09-03T15:49', '2020-09-04T19:09', '1640', '7162', '300', 'B6 804', 'Boeing 767', '289', '4', '1'), 
('Delta Air Lines', '2020-05-07T08:05', '2020-05-08T14:16', '1811', '9934', '1000', 'DL 1681', 'A330', '570', '0', '13'), 
('Alaska Airlines', '2020-08-05T07:16', '2020-08-05T20:36', '800', '3889', '500', 'AS 481', 'A380', '200', '16', '3'), 
('Air Canada', '2020-03-06T23:46', '2020-03-06T24:50', '64', '3681', '200', 'AC 1508', 'CRJ700', '559', '27', '16'), 
('Delta Air Lines', '2020-01-05T11:49', '2020-01-05T14:19', '150', '1298', '1000', 'DL 741', 'CRJ705', '147', '9', '6'), 
('WOW Air', '2020-10-17T13:52', '2020-10-17T17:32', '220', '765', '300', 'WA 1588', 'E-175', '114', '6', '15'), 
('American Airlines', '2020-09-13T04:47', '2020-09-13T08:16', '209', '753', '200', 'AA 1839', 'E-175', '88', '1', '20'), 
('Alaska Airlines', '2020-04-19T14:26', '2020-04-19T18:28', '242', '7761', '500', 'AS 1740', 'A310', '254', '27', '1'), 
('Air Canada', '2020-08-12T19:54', '2020-08-13T12:17', '983', '5580', '300', 'AC 909', 'CRJ900', '338', '29', '10'), 
('Lufthansa', '2020-10-29T11:34', '2020-10-29T13:00', '86', '1769', '500', 'LH 466', 'A340', '99', '18', '10'), 
('SAS', '2020-07-16T21:16', '2020-07-16T23:16', '120', '8823', '200', 'SA 1575', 'A340', '281', '6', '2'), 
('Alaska Airlines', '2020-06-15T13:11', '2020-06-15T23:30', '619', '6281', '500', 'AS 1291', 'A319', '122', '11', '17'), 
('SAS', '2020-09-10T16:48', '2020-09-10T19:03', '135', '5746', '500', 'SA 1984', 'A318', '169', '28', '10'), 
('Air Canada', '2020-04-19T07:50', '2020-04-20T10:09', '1579', '8523', '300', 'AC 716', 'Boeing 747', '152', '28', '6'), 
('SAS', '2020-02-22T10:42', '2020-02-23T14:11', '1649', '3230', '300', 'SA 904', 'Boeing 787', '497', '19', '23'), 
('JetBlue Airways', '2020-08-26T02:59', '2020-08-27T06:33', '1654', '2177', '300', 'B6 418', 'A318', '387', '19', '25'), 
('SAS', '2020-05-03T22:46', '2020-05-03T23:45', '59', '1400', '500', 'SA 1084', 'A319', '459', '5', '19'), 
('Air Canada', '2020-11-29T05:33', '2020-11-30T06:13', '1480', '7716', '300', 'AC 661', 'CRJ705', '522', '17', '13'), 
('SAS', '2020-10-06T11:26', '2020-10-07T17:50', '1824', '3709', '300', 'SA 1362', 'Boeing 747', '550', '18', '27'), 
('JetBlue Airways', '2020-01-12T11:49', '2020-01-13T14:28', '1599', '5268', '300', 'B6 407', 'Boeing 777', '488', '4', '1'), 
('JetBlue Airways', '2020-10-15T10:23', '2020-10-15T19:21', '538', '3380', '1000', 'B6 791', 'A350', '595', '15', '20'), 
('Air Canada', '2020-11-28T21:48', '2020-11-28T23:59', '131', '6783', '1000', 'AC 422', 'Boeing 787', '118', '6', '27'), 
('Lufthansa', '2020-04-22T02:40', '2020-04-23T01:39', '1379', '9733', '300', 'LH 1405', 'E-190', '106', '18', '21'), 
('Lufthansa', '2020-11-04T06:20', '2020-11-05T08:30', '1570', '7955', '200', 'LH 429', 'E-195', '155', '2', '23'), 
('JetBlue Airways', '2020-09-25T10:39', '2020-09-26T09:03', '1344', '7796', '300', 'B6 631', 'E-190', '172', '4', '19'), 
('SAS', '2020-05-17T17:31', '2020-05-18T02:30', '539', '7086', '500', 'SA 1758', 'Boeing 787', '438', '10', '11'), 
('WOW Air', '2020-04-17T01:16', '2020-04-18T00:00', '1364', '9276', '500', 'WA 719', 'E-170', '566', '13', '16'), 
('Alaska Airlines', '2020-08-05T15:36', '2020-08-06T01:44', '608', '8619', '500', 'AS 1024', 'CRJ700', '115', '1', '6'), 
('JetBlue Airways', '2020-10-20T19:55', '2020-10-21T01:27', '332', '7869', '500', 'B6 152', 'A300', '513', '11', '4'), 
('Norwegian', '2020-05-07T02:14', '2020-05-08T02:02', '1428', '7323', '300', 'NW 1378', 'A330', '582', '6', '18'), 
('American Airlines', '2020-08-27T16:09', '2020-08-27T21:18', '309', '3623', '500', 'AA 1119', 'E-170', '383', '22', '20'), 
('Frontier Airlines', '2020-04-13T18:48', '2020-04-14T02:31', '463', '6432', '500', 'F9 859', 'Boeing 747', '202', '11', '22'), 
('Lufthansa', '2020-03-09T22:56', '2020-03-10T02:15', '199', '6930', '300', 'LH 1026', 'E-195', '80', '12', '24'), 
('Delta Air Lines', '2020-05-28T21:09', '2020-05-28T23:57', '168', '9853', '500', 'DL 915', 'CRJ700', '226', '19', '15'), 
('Alaska Airlines', '2020-01-07T11:45', '2020-01-08T11:46', '1441', '4594', '300', 'AS 769', 'Boeing 737', '144', '3', '1'), 
('Norwegian', '2020-05-27T02:35', '2020-05-28T06:14', '1659', '2498', '1000', 'NW 1468', 'CRJ900', '198', '15', '16'), 
('British Airways', '2020-06-27T17:24', '2020-06-27T22:46', '322', '3604', '1000', 'BA 706', 'CRJ705', '334', '11', '6'), 
('Delta Air Lines', '2020-08-16T14:31', '2020-08-16T19:27', '296', '3027', '300', 'DL 358', 'A380', '136', '6', '21'), 
('Lufthansa', '2020-02-10T09:43', '2020-02-10T22:11', '748', '877', '1000', 'LH 148', 'E-190', '465', '18', '13'), 
('Finnair', '2020-02-22T04:26', '2020-02-23T22:39', '2533', '7859', '200', 'FA 1080', 'A321', '265', '4', '23'), 
('Air Canada', '2020-05-28T19:49', '2020-05-29T19:53', '1444', '9692', '300', 'AC 1981', 'SR-71 Blackbird', '249', '16', '11'), 
('Lufthansa', '2020-08-23T22:03', '2020-08-24T10:57', '774', '4996', '500', 'LH 771', 'E-195', '523', '27', '8'), 
('Air Canada', '2020-07-22T15:32', '2020-07-22T19:21', '229', '686', '200', 'AC 676', 'CRJ700', '348', '25', '27'), 
('American Airlines', '2020-05-06T20:28', '2020-05-06T23:03', '155', '8766', '300', 'AA 1145', 'E-190', '425', '3', '18'), 
('SAS', '2020-10-19T20:52', '2020-10-19T22:50', '118', '3053', '500', 'SA 894', 'E-195', '248', '20', '14'), 
('Lufthansa', '2020-01-12T02:12', '2020-01-12T14:36', '744', '7097', '500', 'LH 1215', 'A350', '76', '18', '24'), 
('Frontier Airlines', '2020-07-04T17:25', '2020-07-04T22:58', '333', '6237', '200', 'F9 430', 'A220', '305', '15', '8'), 
('SAS', '2020-06-25T05:22', '2020-06-26T08:46', '1644', '6093', '200', 'SA 892', 'A380', '190', '6', '22'), 
('Lufthansa', '2020-08-26T20:52', '2020-08-26T22:33', '101', '9681', '500', 'LH 118', 'Millennium Falcon', '317', '1', '22'), 
('JetBlue Airways', '2020-03-20T15:03', '2020-03-21T08:03', '1020', '2040', '500', 'B6 141', 'Boeing 777', '221', '18', '19'), 
('Frontier Airlines', '2020-03-20T23:06', '2020-03-20T25:18', '132', '4954', '300', 'F9 949', 'A320', '57', '8', '16'), 
('SAS', '2020-06-06T18:49', '2020-06-06T21:19', '150', '6161', '200', 'SA 824', 'Boeing 747', '328', '9', '6'), 
('SAS', '2020-05-02T16:09', '2020-05-03T01:22', '553', '9786', '500', 'SA 1884', 'A330', '395', '11', '18'), 
('Norwegian', '2020-08-10T04:36', '2020-08-10T21:39', '1023', '5176', '500', 'NW 1177', 'A340', '381', '7', '10'), 
('JetBlue Airways', '2020-04-22T17:57', '2020-04-22T22:08', '251', '9019', '1000', 'B6 1272', 'A318', '587', '20', '13'), 
('WOW Air', '2020-01-19T13:25', '2020-01-20T20:15', '1850', '3339', '300', 'WA 1838', 'E-190', '55', '18', '17'), 
('Finnair', '2020-04-16T15:50', '2020-04-17T12:55', '1265', '7733', '500', 'FA 1856', 'A350', '60', '27', '18'), 
('SAS', '2020-07-19T05:08', '2020-07-20T04:58', '1430', '1826', '500', 'SA 1163', 'A319', '545', '28', '21'), 
('Air Canada', '2020-11-25T17:12', '2020-11-26T22:05', '1733', '9665', '300', 'AC 534', 'E-190', '487', '5', '15'), 
('American Airlines', '2020-06-21T07:57', '2020-06-22T23:51', '2394', '9240', '300', 'AA 151', 'E-170', '408', '17', '6'), 
('SAS', '2020-06-08T18:11', '2020-06-09T09:33', '922', '9369', '300', 'SA 1933', 'A318', '441', '26', '8'), 
('WOW Air', '2020-07-08T21:50', '2020-07-08T23:17', '87', '9425', '300', 'WA 1466', 'A321', '103', '1', '25'), 
('British Airways', '2020-11-04T16:48', '2020-11-05T14:19', '1291', '3418', '300', 'BA 648', 'A320', '413', '16', '10'), 
('Air Canada', '2020-04-09T09:08', '2020-04-09T21:19', '731', '4263', '1000', 'AC 1105', 'Boeing 747', '303', '27', '25'), 
('American Airlines', '2020-08-29T19:26', '2020-08-30T17:48', '1342', '6241', '200', 'AA 1106', 'A310', '74', '11', '6'), 
('Air Canada', '2020-04-27T13:39', '2020-04-28T20:49', '1870', '2985', '300', 'AC 633', 'CRJ700', '327', '4', '13'), 
('Lufthansa', '2020-06-15T13:24', '2020-06-16T07:03', '1059', '4781', '200', 'LH 723', 'CRJ705', '140', '19', '4'), 
('SAS', '2020-04-26T16:25', '2020-04-26T20:51', '266', '9270', '500', 'SA 324', 'SR-71 Blackbird', '454', '12', '21'), 
('American Airlines', '2020-02-25T15:07', '2020-02-25T21:50', '403', '2944', '300', 'AA 1681', 'A319', '506', '9', '22'), 
('Finnair', '2020-09-06T01:42', '2020-09-06T13:15', '693', '4788', '300', 'FA 377', 'A319', '165', '8', '13'), 
('SAS', '2020-09-07T19:25', '2020-09-07T22:33', '188', '8457', '300', 'SA 633', 'CRJ705', '329', '1', '8'), 
('Frontier Airlines', '2020-08-10T11:47', '2020-08-11T15:30', '1663', '704', '300', 'F9 144', 'CRJ700', '442', '23', '15'), 
('Norwegian', '2020-08-09T04:59', '2020-08-10T04:03', '1384', '8910', '300', 'NW 1527', 'A330', '154', '25', '15'), 
('Norwegian', '2020-04-10T22:55', '2020-04-10T23:39', '44', '5133', '500', 'NW 805', 'A318', '425', '28', '6'), 
('Norwegian', '2020-06-04T14:32', '2020-06-04T22:48', '496', '6613', '300', 'NW 633', 'CRJ1000', '345', '12', '2'), 
('Lufthansa', '2020-02-16T20:38', '2020-02-16T23:15', '157', '7497', '500', 'LH 1115', 'E-175', '461', '20', '7'), 
('Air Canada', '2020-08-06T04:34', '2020-08-06T11:46', '432', '8152', '200', 'AC 1341', 'A350', '136', '13', '19'), 
('SAS', '2020-04-17T03:58', '2020-04-18T14:12', '2054', '9789', '500', 'SA 641', 'SR-71 Blackbird', '336', '22', '14'), 
('British Airways', '2020-07-13T01:46', '2020-07-13T20:50', '1144', '2629', '300', 'BA 121', 'CRJ700', '341', '9', '24'), 
('Alaska Airlines', '2020-06-15T09:04', '2020-06-16T08:35', '1411', '5176', '200', 'AS 1309', 'Boeing 777', '498', '13', '17'), 
('Lufthansa', '2020-08-21T07:57', '2020-08-22T09:51', '1554', '1434', '200', 'LH 457', 'A318', '559', '3', '4'), 
('Alaska Airlines', '2020-02-18T18:30', '2020-02-19T03:57', '567', '9997', '1000', 'AS 860', 'E-175', '150', '1', '21'), 
('Norwegian', '2020-02-27T20:02', '2020-02-28T20:12', '1450', '6662', '200', 'NW 1903', 'Millennium Falcon', '187', '17', '1'), 
('SAS', '2020-10-24T01:42', '2020-10-24T16:17', '875', '8491', '200', 'SA 1865', 'CRJ900', '441', '22', '26'), 
('Alaska Airlines', '2020-06-19T04:01', '2020-06-19T18:43', '882', '6293', '500', 'AS 689', 'A220', '318', '18', '4'), 
('Delta Air Lines', '2020-10-25T16:00', '2020-10-26T01:36', '576', '2351', '300', 'DL 690', 'Boeing 747', '487', '20', '5'), 
('Delta Air Lines', '2020-10-13T21:01', '2020-10-13T23:20', '139', '2516', '200', 'DL 1733', 'Boeing 777', '156', '1', '3'), 
('Finnair', '2020-12-18T13:52', '2020-12-18T17:51', '239', '9475', '200', 'FA 1408', 'SR-71 Blackbird', '118', '20', '1'), 
('Delta Air Lines', '2020-10-09T18:05', '2020-10-10T13:32', '1167', '3333', '500', 'DL 267', 'Boeing 747', '67', '5', '22'), 
('JetBlue Airways', '2020-08-15T10:28', '2020-08-15T16:08', '340', '2981', '500', 'B6 1320', 'A330', '536', '15', '9'), 
('Lufthansa', '2020-01-06T12:43', '2020-01-06T16:11', '208', '9546', '300', 'LH 1075', 'A310', '324', '11', '18'), 
('British Airways', '2020-01-14T14:53', '2020-01-15T14:34', '1421', '7635', '200', 'BA 1294', 'A321', '152', '24', '20'), 
('Lufthansa', '2020-11-04T22:51', '2020-11-04T23:17', '26', '788', '500', 'LH 611', 'E-170', '522', '5', '10'), 
('Alaska Airlines', '2020-06-05T13:08', '2020-06-06T20:12', '1864', '2342', '1000', 'AS 176', 'E-170', '211', '11', '13'), 
('Lufthansa', '2020-03-02T02:14', '2020-03-02T07:21', '307', '9108', '500', 'LH 1704', 'E-195', '575', '27', '9'), 
('WOW Air', '2020-08-10T06:06', '2020-08-11T22:57', '2451', '2297', '500', 'WA 1145', 'CRJ705', '396', '16', '9'), 
('American Airlines', '2020-05-26T13:20', '2020-05-26T17:21', '241', '6209', '500', 'AA 1532', 'E-195', '254', '24', '13'), 
('Finnair', '2020-04-30T01:06', '2020-04-30T16:40', '934', '8197', '500', 'FA 519', 'Boeing 767', '572', '18', '9'), 
('JetBlue Airways', '2020-08-21T16:58', '2020-08-21T18:42', '104', '5555', '300', 'B6 939', 'SR-71 Blackbird', '335', '18', '25'), 
('SAS', '2020-11-09T12:14', '2020-11-09T22:25', '611', '3298', '300', 'SA 178', 'Boeing 787', '392', '3', '10'), 
('Norwegian', '2020-01-08T01:53', '2020-01-09T08:11', '1818', '6318', '500', 'NW 354', 'E-190', '157', '22', '19'), 
('Lufthansa', '2020-08-07T01:37', '2020-08-08T02:29', '1492', '3761', '1000', 'LH 1579', 'A319', '535', '20', '4'), 
('Delta Air Lines', '2020-08-15T02:59', '2020-08-16T17:58', '2339', '5877', '200', 'DL 737', 'A320', '288', '22', '3'), 
('Air Canada', '2020-07-24T21:53', '2020-07-25T21:19', '1406', '1041', '300', 'AC 996', 'A300', '380', '27', '18'), 
('JetBlue Airways', '2020-11-18T06:40', '2020-11-18T20:03', '803', '9968', '1000', 'B6 227', 'A320', '322', '28', '27'), 
('Alaska Airlines', '2020-05-20T17:27', '2020-05-21T17:07', '1420', '3729', '500', 'AS 185', 'CRJ1000', '371', '4', '14'), 
('JetBlue Airways', '2020-05-12T20:54', '2020-05-13T21:18', '1464', '8449', '1000', 'B6 1562', 'Boeing 787', '373', '18', '6'), 
('SAS', '2020-12-07T04:43', '2020-12-08T02:48', '1325', '3233', '300', 'SA 1348', 'E-170', '366', '6', '25'), 
('Norwegian', '2020-02-30T05:49', '2020-02-31T23:56', '2527', '6676', '300', 'NW 1313', 'E-190', '280', '17', '12'), 
('Alaska Airlines', '2020-09-25T04:39', '2020-09-26T11:09', '1830', '8927', '500', 'AS 898', 'Boeing 787', '356', '8', '21'), 
('Air Canada', '2020-03-04T21:45', '2020-03-04T23:51', '126', '7217', '300', 'AC 1901', 'CRJ900', '192', '16', '2'), 
('JetBlue Airways', '2020-04-06T19:09', '2020-04-07T01:10', '361', '4254', '300', 'B6 1245', 'Boeing 737', '293', '20', '11'), 
('Lufthansa', '2020-05-07T02:13', '2020-05-08T21:41', '2608', '861', '200', 'LH 1170', 'A380', '168', '28', '2'), 
('Alaska Airlines', '2020-12-23T13:19', '2020-12-23T23:30', '611', '4088', '1000', 'AS 1687', 'CRJ900', '585', '9', '1'), 
('Finnair', '2020-01-23T14:32', '2020-01-23T18:14', '222', '3477', '300', 'FA 870', 'A310', '549', '0', '1'), 
('Frontier Airlines', '2020-08-29T14:55', '2020-08-30T01:25', '630', '6032', '1000', 'F9 1566', 'A318', '513', '14', '25'), 
('British Airways', '2020-04-19T18:31', '2020-04-20T20:22', '1551', '5097', '1000', 'BA 1040', 'A321', '317', '21', '11'), 
('SAS', '2020-05-28T01:35', '2020-05-29T10:53', '1998', '7532', '500', 'SA 1265', 'E-175', '407', '14', '16'), 
('American Airlines', '2020-04-16T19:14', '2020-04-16T22:04', '170', '3003', '300', 'AA 497', 'A300', '309', '6', '2'), 
('Delta Air Lines', '2020-08-17T06:39', '2020-08-18T18:03', '2124', '7509', '500', 'DL 1948', 'E-190', '443', '0', '17'), 
('Alaska Airlines', '2020-08-12T07:04', '2020-08-13T02:10', '1146', '4966', '300', 'AS 1815', 'Boeing 747', '191', '27', '28'), 
('American Airlines', '2020-08-17T03:40', '2020-08-18T21:12', '2492', '6753', '200', 'AA 1550', 'A300', '231', '18', '26'), 
('Lufthansa', '2020-04-15T08:22', '2020-04-15T16:25', '483', '5402', '500', 'LH 1702', 'CRJ900', '542', '2', '22'), 
('WOW Air', '2020-07-19T02:37', '2020-07-20T12:28', '2031', '6205', '300', 'WA 962', 'A319', '259', '7', '19'), 
('Alaska Airlines', '2020-09-30T01:41', '2020-09-30T16:03', '862', '761', '300', 'AS 1004', 'A340', '165', '23', '13'), 
('Lufthansa', '2020-09-08T12:25', '2020-09-09T01:20', '775', '6475', '500', 'LH 1756', 'SR-71 Blackbird', '443', '11', '16'), 
('Lufthansa', '2020-03-07T04:04', '2020-03-08T20:29', '2425', '7545', '500', 'LH 250', 'Millennium Falcon', '598', '8', '15'), 
('Air Canada', '2020-03-07T18:46', '2020-03-08T16:28', '1302', '9987', '500', 'AC 1357', 'SR-71 Blackbird', '424', '19', '8'), 
('Delta Air Lines', '2020-07-13T21:39', '2020-07-14T18:21', '1242', '7471', '300', 'DL 105', 'A330', '196', '2', '14'), 
('Lufthansa', '2020-03-06T03:36', '2020-03-07T17:44', '2288', '7109', '300', 'LH 1289', 'A321', '132', '10', '23'), 
('SAS', '2020-09-28T23:13', '2020-09-28T25:22', '129', '6049', '1000', 'SA 1491', 'A340', '196', '23', '18'), 
('Norwegian', '2020-06-24T01:02', '2020-06-25T17:20', '2418', '1065', '500', 'NW 1493', 'Boeing 777', '371', '8', '18'), 
('Lufthansa', '2020-06-21T15:12', '2020-06-21T23:08', '476', '5932', '300', 'LH 482', 'A220', '81', '1', '19'), 
('British Airways', '2020-12-19T15:46', '2020-12-19T18:47', '181', '8839', '300', 'BA 624', 'A300', '298', '28', '18'), 
('JetBlue Airways', '2020-02-18T18:18', '2020-02-18T20:37', '139', '8667', '1000', 'B6 1623', 'CRJ900', '64', '27', '0'), 
('JetBlue Airways', '2020-04-05T04:29', '2020-04-06T03:17', '1368', '3061', '1000', 'B6 647', 'A310', '157', '12', '4'), 
('Alaska Airlines', '2020-04-19T02:03', '2020-04-19T21:11', '1148', '6773', '200', 'AS 506', 'A321', '141', '5', '15'), 
('Norwegian', '2020-09-23T19:55', '2020-09-24T10:04', '849', '9456', '300', 'NW 1876', 'CRJ900', '538', '9', '23'), 
('Delta Air Lines', '2020-03-09T11:47', '2020-03-09T19:38', '471', '2729', '300', 'DL 628', 'A319', '314', '9', '20'), 
('Norwegian', '2020-05-29T06:33', '2020-05-30T07:07', '1474', '5520', '300', 'NW 171', 'A319', '586', '24', '14'), 
('Air Canada', '2020-03-13T19:24', '2020-03-14T03:15', '471', '3944', '300', 'AC 494', 'SR-71 Blackbird', '254', '23', '21'), 
('JetBlue Airways', '2020-07-28T09:26', '2020-07-28T20:45', '679', '5262', '300', 'B6 1871', 'Boeing 777', '291', '25', '27'), 
('WOW Air', '2020-03-28T04:03', '2020-03-28T23:22', '1159', '5291', '500', 'WA 1752', 'CRJ700', '503', '22', '16'), 
('Finnair', '2020-03-23T13:22', '2020-03-24T08:20', '1138', '3165', '1000', 'FA 1471', 'Boeing 747', '281', '0', '6'), 
('Frontier Airlines', '2020-09-23T16:09', '2020-09-23T19:15', '186', '2724', '300', 'F9 1258', 'E-190', '411', '3', '11'), 
('Delta Air Lines', '2020-06-19T22:51', '2020-06-20T08:48', '597', '7134', '1000', 'DL 1138', 'CRJ700', '557', '25', '7'), 
('SAS', '2020-05-07T19:02', '2020-05-08T07:04', '722', '8604', '300', 'SA 1921', 'A318', '559', '29', '18'), 
('Finnair', '2020-02-20T10:08', '2020-02-20T16:08', '360', '8650', '1000', 'FA 324', 'E-170', '468', '16', '25'), 
('Air Canada', '2020-10-25T13:12', '2020-10-25T21:22', '490', '971', '500', 'AC 448', 'A380', '300', '15', '16'), 
('WOW Air', '2020-03-09T22:28', '2020-03-10T18:45', '1217', '8832', '300', 'WA 431', 'Boeing 747', '416', '18', '22'), 
('Frontier Airlines', '2020-06-23T11:18', '2020-06-24T08:53', '1295', '9083', '300', 'F9 1154', 'A321', '437', '6', '1'), 
('Alaska Airlines', '2020-07-16T14:17', '2020-07-16T21:11', '414', '9503', '200', 'AS 1322', 'A319', '183', '13', '4'), 
('JetBlue Airways', '2020-08-20T19:17', '2020-08-21T22:53', '1656', '6694', '500', 'B6 1702', 'A319', '321', '12', '11'), 
('SAS', '2020-10-25T01:01', '2020-10-26T11:20', '2059', '6848', '300', 'SA 221', 'A350', '314', '21', '27'), 
('British Airways', '2020-06-21T11:31', '2020-06-21T22:33', '662', '7838', '500', 'BA 185', 'A319', '53', '9', '26'), 
('Alaska Airlines', '2020-01-11T08:43', '2020-01-11T14:01', '318', '6475', '1000', 'AS 680', 'A220', '572', '1', '28'), 
('Alaska Airlines', '2020-04-18T14:36', '2020-04-19T23:03', '1947', '3219', '500', 'AS 1983', 'A321', '567', '22', '1'), 
('JetBlue Airways', '2020-04-26T09:20', '2020-04-26T18:02', '522', '5373', '500', 'B6 1923', 'A320', '438', '4', '16'), 
('JetBlue Airways', '2020-11-12T10:22', '2020-11-13T15:06', '1724', '3319', '300', 'B6 1734', 'A340', '162', '2', '7'), 
('British Airways', '2020-11-23T10:42', '2020-11-23T20:59', '617', '9118', '200', 'BA 1205', 'E-170', '299', '0', '6'), 
('Lufthansa', '2020-09-30T06:27', '2020-09-30T15:17', '530', '7873', '500', 'LH 1399', 'E-195', '555', '27', '17'), 
('Norwegian', '2020-07-21T03:19', '2020-07-22T17:38', '2299', '4982', '500', 'NW 785', 'E-170', '364', '7', '14'), 
('Finnair', '2020-09-19T21:06', '2020-09-19T23:16', '130', '3155', '1000', 'FA 354', 'Boeing 747', '258', '21', '29'), 
('Lufthansa', '2020-11-22T03:52', '2020-11-23T17:07', '2235', '3101', '300', 'LH 774', 'Boeing 777', '421', '3', '4'), 
('Norwegian', '2020-10-14T12:30', '2020-10-15T18:27', '1797', '9229', '1000', 'NW 1109', 'A220', '132', '10', '25'), 
('Lufthansa', '2020-09-03T04:32', '2020-09-03T19:32', '900', '7760', '200', 'LH 391', 'A340', '585', '22', '5'), 
('Norwegian', '2020-09-03T06:45', '2020-09-04T05:42', '1377', '2753', '300', 'NW 1586', 'E-170', '390', '11', '12'), 
('British Airways', '2020-09-11T09:28', '2020-09-12T03:47', '1099', '3835', '1000', 'BA 283', 'A380', '210', '24', '19'), 
('SAS', '2020-10-25T09:56', '2020-10-25T19:38', '582', '4608', '200', 'SA 1048', 'A350', '323', '5', '18'), 
('Delta Air Lines', '2020-12-09T10:32', '2020-12-09T21:39', '667', '9595', '300', 'DL 1826', 'Boeing 777', '81', '1', '28'), 
('Norwegian', '2020-09-12T03:20', '2020-09-13T19:55', '2435', '8487', '300', 'NW 1611', 'A330', '431', '8', '14'), 
('Norwegian', '2020-12-29T06:45', '2020-12-29T16:11', '566', '5443', '300', 'NW 1949', 'A330', '337', '8', '24'), 
('Air Canada', '2020-07-14T17:01', '2020-07-14T19:10', '129', '7010', '500', 'AC 1699', 'A319', '572', '10', '2'), 
('Lufthansa', '2020-02-30T07:56', '2020-02-31T15:09', '1873', '3346', '200', 'LH 568', 'E-175', '448', '9', '19'), 
('Lufthansa', '2020-06-01T10:06', '2020-06-02T06:14', '1208', '6846', '500', 'LH 1189', 'E-170', '370', '0', '13'), 
('Air Canada', '2020-07-17T14:04', '2020-07-18T17:58', '1674', '5299', '500', 'AC 1222', 'A300', '553', '1', '17'), 
('Frontier Airlines', '2020-06-12T08:10', '2020-06-12T19:21', '671', '6933', '300', 'F9 787', 'A320', '336', '14', '20'), 
('JetBlue Airways', '2020-11-15T04:51', '2020-11-15T12:30', '459', '2397', '1000', 'B6 1067', 'Boeing 737', '77', '12', '2'), 
('JetBlue Airways', '2020-05-13T15:30', '2020-05-13T21:12', '342', '5310', '300', 'B6 937', 'E-190', '457', '23', '8'), 
('Finnair', '2020-11-29T04:15', '2020-11-30T06:40', '1585', '9487', '500', 'FA 945', 'A340', '185', '28', '6'), 
('Air Canada', '2020-09-17T12:28', '2020-09-17T21:30', '542', '7525', '500', 'AC 817', 'A319', '453', '18', '12'), 
('JetBlue Airways', '2020-04-24T17:02', '2020-04-24T21:08', '246', '4715', '500', 'B6 439', 'A220', '183', '27', '16'), 
('Delta Air Lines', '2020-03-03T14:43', '2020-03-04T16:30', '1547', '7132', '300', 'DL 137', 'SR-71 Blackbird', '411', '6', '5'), 
('Finnair', '2020-02-02T14:18', '2020-02-03T20:26', '1808', '1540', '500', 'FA 1884', 'Boeing 767', '567', '28', '12'), 
('Norwegian', '2020-10-27T17:45', '2020-10-27T21:34', '229', '2197', '300', 'NW 1541', 'A318', '65', '4', '0'), 
('Finnair', '2020-07-18T14:17', '2020-07-18T22:26', '489', '5079', '300', 'FA 1657', 'A380', '170', '19', '24'), 
('Finnair', '2020-03-23T02:22', '2020-03-24T20:59', '2557', '6195', '500', 'FA 1221', 'A318', '430', '18', '10'), 
('Delta Air Lines', '2020-12-09T23:11', '2020-12-10T07:22', '491', '5182', '300', 'DL 679', 'CRJ700', '552', '20', '13'), 
('Frontier Airlines', '2020-03-21T04:01', '2020-03-21T13:11', '550', '4125', '300', 'F9 830', 'Boeing 737', '599', '8', '14'), 
('British Airways', '2020-06-06T15:48', '2020-06-06T21:01', '313', '2908', '300', 'BA 1862', 'A319', '207', '3', '20'), 
('Alaska Airlines', '2020-06-04T07:21', '2020-06-04T13:11', '350', '1806', '500', 'AS 250', 'E-190', '495', '7', '12'), 
('Frontier Airlines', '2020-08-10T00:58', '2020-08-10T03:18', '140', '1890', '300', 'F9 1050', 'CRJ900', '82', '0', '3'), 
('Norwegian', '2020-04-29T07:35', '2020-04-29T13:14', '339', '8838', '200', 'NW 464', 'E-195', '241', '17', '16'), 
('Norwegian', '2020-10-09T03:06', '2020-10-10T17:22', '2296', '7522', '500', 'NW 1234', 'A300', '484', '15', '13'), 
('Alaska Airlines', '2020-11-30T02:02', '2020-11-31T14:56', '2214', '1373', '500', 'AS 240', 'A350', '453', '0', '19'), 
('Air Canada', '2020-04-14T15:07', '2020-04-15T14:03', '1376', '7650', '200', 'AC 1706', 'A321', '75', '28', '16'), 
('American Airlines', '2020-01-12T03:30', '2020-01-13T18:55', '2365', '2205', '500', 'AA 521', 'Boeing 767', '536', '23', '5'), 
('Air Canada', '2020-02-07T00:41', '2020-02-08T19:22', '2561', '9680', '300', 'AC 1546', 'Boeing 737', '353', '1', '25'), 
('Lufthansa', '2020-08-05T15:09', '2020-08-05T18:48', '219', '6570', '1000', 'LH 1786', 'A300', '224', '18', '4'), 
('Air Canada', '2020-08-26T07:25', '2020-08-27T08:19', '1494', '8335', '200', 'AC 917', 'A340', '406', '10', '14'), 
('Finnair', '2020-12-26T21:43', '2020-12-27T02:34', '291', '9264', '300', 'FA 1684', 'A340', '481', '18', '25'), 
('American Airlines', '2020-12-24T15:01', '2020-12-24T22:32', '451', '5919', '500', 'AA 1275', 'CRJ700', '536', '2', '12'), 
('Finnair', '2020-04-01T02:15', '2020-04-02T03:12', '1497', '7396', '200', 'FA 712', 'CRJ900', '545', '17', '15'), 
