('British Airways', '2019-02-24T16:17', '2019-02-25T17:20', '1503', '4184', '200', 'BA 1425', 'E-170', '477', '14', '15'), 
('British Airways', '2019-03-15T03:50', '2019-03-16T08:09', '1699', '5420', '500', 'BA 1808', 'CRJ900', '518', '1', '17'), 
('British Airways', '2019-08-24T08:53', '2019-08-24T12:05', '192', '7195', '300', 'BA 446', 'CRJ700', '556', '20', '0'), 
('Norwegian', '2019-07-13T10:34', '2019-07-14T01:31', '897', '7396', '200', 'NW 985', 'A350', '134', '21', '16'), 
('Frontier Airlines', '2019-11-19T16:22', '2019-11-19T21:40', '318', '3071', '200', 'F9 946', 'Boeing 747', '291', '6', '19'), 
('British Airways', '2018-09-08T03:52', '2018-09-08T20:05', '973', '4934', '300', 'BA 1343', 'Boeing 767', '508', '12', '28'), 
('Lufthansa', '2019-06-03T21:13', '2019-06-04T13:34', '981', '2366', '500', 'LH 954', 'Millennium Falcon', '68', '4', '19'), 
('Lufthansa', '2018-10-14T03:15', '2018-10-14T05:21', '126', '2187', '500', 'LH 1354', 'A319', '311', '5', '1'), 
('British Airways', '2018-09-16T20:21', '2018-09-16T22:01', '100', '5711', '300', 'BA 113', 'A380', '248', '16', '18'), 
('Norwegian', '2019-01-07T20:56', '2019-01-07T22:46', '110', '9600', '1000', 'NW 574', 'E-175', '253', '3', '8'), 
('Air Canada', '2019-08-13T04:47', '2019-08-14T12:54', '1927', '6067', '300', 'AC 1857', 'A321', '576', '18', '2'), 
('Norwegian', '2019-09-25T11:23', '2019-09-26T11:01', '1418', '4034', '1000', 'NW 1508', 'Boeing 767', '453', '8', '24'), 
('Lufthansa', '2019-08-05T11:51', '2019-08-06T15:47', '1676', '2366', '200', 'LH 1877', 'CRJ1000', '119', '21', '2'), 
('Delta Air Lines', '2019-08-07T01:03', '2019-08-07T17:29', '986', '1954', '500', 'DL 1738', 'Boeing 767', '538', '6', '4'), 
('SAS', '2018-03-20T01:24', '2018-03-20T11:40', '616', '1781', '500', 'SA 448', 'CRJ900', '540', '17', '1'), 
('Alaska Airlines', '2019-02-06T13:39', '2019-02-07T11:57', '1338', '9351', '500', 'AS 1845', 'A318', '555', '4', '12'), 
('British Airways', '2019-07-11T11:04', '2019-07-11T14:03', '179', '9702', '1000', 'BA 1687', 'Boeing 787', '523', '10', '17'), 
('Lufthansa', '2018-05-13T20:05', '2018-05-14T02:26', '381', '1033', '500', 'LH 1750', 'Boeing 767', '123', '7', '5'), 
('Air Canada', '2018-02-14T07:56', '2018-02-14T11:21', '205', '3112', '500', 'AC 812', 'SR-71 Blackbird', '561', '17', '18'), 
('Air Canada', '2018-08-15T15:51', '2018-08-15T19:31', '220', '8888', '300', 'AC 1898', 'A380', '115', '5', '23'), 
('Alaska Airlines', '2018-07-16T09:03', '2018-07-16T17:40', '517', '7578', '200', 'AS 1608', 'E-175', '552', '7', '12'), 
('JetBlue Airways', '2018-07-04T11:34', '2018-07-04T15:57', '263', '5269', '200', 'B6 121', 'A318', '578', '2', '13'), 
('Lufthansa', '2019-05-11T23:50', '2019-05-12T01:19', '89', '1450', '300', 'LH 1249', 'CRJ700', '209', '7', '5'), 
('SAS', '2018-11-04T16:29', '2018-11-05T16:28', '1439', '3694', '300', 'SA 865', 'E-190', '432', '14', '17'), 
('Lufthansa', '2018-10-14T18:00', '2018-10-14T21:06', '186', '2785', '1000', 'LH 1984', 'SR-71 Blackbird', '274', '18', '3'), 
('Norwegian', '2019-02-09T20:52', '2019-02-10T11:23', '871', '2157', '500', 'NW 1354', 'A318', '389', '14', '12'), 
('WOW Air', '2019-09-30T21:21', '2019-09-31T16:46', '1165', '9605', '300', 'WA 1456', 'A340', '146', '22', '9'), 
('Alaska Airlines', '2019-05-01T10:33', '2019-05-02T01:46', '913', '9987', '1000', 'AS 853', 'E-170', '312', '5', '14'), 
('JetBlue Airways', '2019-06-08T13:20', '2019-06-09T04:27', '907', '4771', '500', 'B6 1053', 'Boeing 747', '284', '10', '16'), 
('Alaska Airlines', '2019-11-21T22:30', '2019-11-21T23:52', '82', '5873', '200', 'AS 700', 'A310', '337', '3', '28'), 
('Delta Air Lines', '2019-11-14T09:31', '2019-11-15T00:39', '908', '9527', '200', 'DL 568', 'A340', '149', '12', '1'), 
('Delta Air Lines', '2018-02-20T18:11', '2018-02-21T21:29', '1638', '4125', '500', 'DL 750', 'E-170', '273', '24', '22'), 
('SAS', '2019-12-19T13:16', '2019-12-19T20:05', '409', '7666', '500', 'SA 876', 'A330', '476', '4', '20'), 
('Air Canada', '2019-02-08T05:47', '2019-02-08T14:46', '539', '6485', '500', 'AC 514', 'Boeing 787', '192', '11', '15'), 
('American Airlines', '2018-06-06T00:40', '2018-06-06T03:24', '164', '2375', '500', 'AA 494', 'A318', '136', '8', '24'), 
('Air Canada', '2018-02-19T02:03', '2018-02-20T14:01', '2158', '5639', '300', 'AC 626', 'CRJ705', '401', '2', '23'), 
('Frontier Airlines', '2019-05-02T14:38', '2019-05-02T22:00', '442', '7641', '1000', 'F9 352', 'CRJ1000', '553', '8', '10'), 
('SAS', '2019-07-04T17:10', '2019-07-05T11:01', '1071', '3065', '1000', 'SA 1189', 'Boeing 767', '276', '25', '19'), 
('Delta Air Lines', '2018-08-27T16:02', '2018-08-28T02:07', '605', '5975', '300', 'DL 791', 'SR-71 Blackbird', '238', '14', '4'), 
('Norwegian', '2019-08-02T19:42', '2019-08-03T10:18', '876', '7536', '1000', 'NW 1294', 'Boeing 767', '144', '23', '4'), 
('Finnair', '2018-11-02T07:10', '2018-11-03T02:32', '1162', '9197', '200', 'FA 746', 'SR-71 Blackbird', '277', '18', '26'), 
('Lufthansa', '2018-08-21T16:13', '2018-08-21T22:59', '406', '2455', '200', 'LH 1474', 'Boeing 777', '565', '24', '8'), 
('Norwegian', '2018-06-04T08:58', '2018-06-05T21:44', '2206', '4908', '1000', 'NW 1792', 'A300', '410', '16', '12'), 
('JetBlue Airways', '2019-11-12T00:50', '2019-11-13T04:07', '1637', '2561', '1000', 'B6 1637', 'CRJ700', '213', '9', '18'), 
('SAS', '2019-02-19T20:10', '2019-02-19T23:25', '195', '9215', '300', 'SA 610', 'A350', '299', '21', '14'), 
('Norwegian', '2019-06-21T03:20', '2019-06-22T13:22', '2042', '9496', '200', 'NW 1171', 'A321', '78', '6', '11'), 
('Alaska Airlines', '2018-09-10T09:24', '2018-09-10T16:07', '403', '2363', '200', 'AS 394', 'A380', '594', '18', '2'), 
('Delta Air Lines', '2018-07-29T17:01', '2018-07-30T06:24', '803', '8687', '300', 'DL 1617', 'E-195', '597', '4', '10'), 
('WOW Air', '2018-08-22T03:35', '2018-08-23T14:29', '2094', '3910', '300', 'WA 517', 'Boeing 747', '277', '7', '12'), 
('British Airways', '2018-10-18T16:44', '2018-10-18T18:58', '134', '6815', '500', 'BA 899', 'Boeing 777', '210', '6', '17'), 
('American Airlines', '2019-02-18T04:52', '2019-02-19T14:12', '2000', '857', '300', 'AA 913', 'Millennium Falcon', '488', '19', '27'), 
('Frontier Airlines', '2018-12-08T16:46', '2018-12-09T12:45', '1199', '6157', '200', 'F9 120', 'CRJ900', '51', '25', '19'), 
('JetBlue Airways', '2018-11-12T21:06', '2018-11-12T23:46', '160', '4615', '500', 'B6 891', 'Boeing 787', '460', '8', '18'), 
('British Airways', '2018-10-16T10:12', '2018-10-16T20:16', '604', '6983', '500', 'BA 1700', 'E-175', '87', '12', '4'), 
('British Airways', '2019-07-03T16:53', '2019-07-03T21:28', '275', '5746', '300', 'BA 1540', 'E-195', '212', '28', '23'), 
('Norwegian', '2018-04-23T04:08', '2018-04-23T21:19', '1031', '991', '500', 'NW 1510', 'E-170', '174', '23', '18'), 
('Finnair', '2018-08-03T12:09', '2018-08-03T21:16', '547', '3485', '300', 'FA 872', 'A340', '458', '12', '2'), 
('American Airlines', '2018-04-17T20:46', '2018-04-18T07:42', '656', '4388', '200', 'AA 1757', 'Boeing 787', '574', '26', '29'), 
('Lufthansa', '2019-07-07T20:04', '2019-07-07T23:27', '203', '3753', '300', 'LH 1722', 'CRJ900', '332', '2', '25'), 
('JetBlue Airways', '2018-05-06T08:42', '2018-05-07T03:19', '1117', '944', '200', 'B6 1934', 'A319', '75', '16', '10'), 
('Lufthansa', '2018-08-05T01:36', '2018-08-06T21:13', '2617', '9047', '200', 'LH 1315', 'CRJ900', '576', '11', '13'), 
('Air Canada', '2018-11-09T12:12', '2018-11-10T12:01', '1429', '8254', '500', 'AC 1562', 'Boeing 787', '224', '29', '20'), 
('British Airways', '2018-07-30T06:04', '2018-07-31T15:02', '1978', '746', '200', 'BA 1092', 'Millennium Falcon', '278', '21', '28'), 
('Lufthansa', '2018-06-14T08:06', '2018-06-15T21:56', '2270', '3076', '300', 'LH 1271', 'SR-71 Blackbird', '289', '17', '9'), 
('Alaska Airlines', '2019-05-03T12:56', '2019-05-04T02:01', '785', '9859', '300', 'AS 570', 'Boeing 767', '382', '12', '23'), 
('Alaska Airlines', '2019-10-04T22:49', '2019-10-04T24:49', '120', '1530', '300', 'AS 565', 'A300', '324', '8', '15'), 
('Frontier Airlines', '2018-10-19T07:07', '2018-10-20T05:11', '1324', '4419', '200', 'F9 132', 'CRJ700', '124', '13', '9'), 
('British Airways', '2019-04-07T07:07', '2019-04-07T15:30', '503', '9938', '300', 'BA 1760', 'SR-71 Blackbird', '434', '17', '8'), 
('Lufthansa', '2018-02-01T08:01', '2018-02-02T22:03', '2282', '4724', '300', 'LH 1127', 'A318', '298', '23', '6'), 
('Finnair', '2018-03-29T03:21', '2018-03-29T22:01', '1120', '3151', '500', 'FA 802', 'E-175', '576', '13', '27'), 
('Lufthansa', '2018-07-01T22:31', '2018-07-02T16:02', '1051', '7879', '1000', 'LH 1928', 'Boeing 777', '156', '12', '24'), 
('Lufthansa', '2018-03-29T13:42', '2018-03-29T16:58', '196', '7125', '300', 'LH 1613', 'A320', '65', '7', '5'), 
('Finnair', '2018-11-14T15:43', '2018-11-15T01:16', '573', '3810', '200', 'FA 1158', 'A318', '99', '27', '3'), 
('Delta Air Lines', '2019-05-04T17:27', '2019-05-05T12:06', '1119', '6735', '200', 'DL 350', 'Boeing 777', '222', '21', '22'), 
('Alaska Airlines', '2019-12-27T03:07', '2019-12-28T09:29', '1822', '955', '200', 'AS 1176', 'A330', '232', '19', '12'), 
('Delta Air Lines', '2019-06-27T11:25', '2019-06-27T17:29', '364', '7147', '200', 'DL 279', 'Boeing 767', '134', '10', '24'), 
('Finnair', '2018-02-27T16:36', '2018-02-28T18:51', '1575', '7362', '500', 'FA 937', 'A310', '255', '6', '17'), 
('American Airlines', '2018-11-18T22:56', '2018-11-18T23:19', '23', '2066', '300', 'AA 1642', 'Boeing 737', '357', '6', '4'), 
('Delta Air Lines', '2019-12-24T22:47', '2019-12-25T15:18', '991', '6601', '1000', 'DL 996', 'A340', '588', '21', '13'), 
('Lufthansa', '2018-03-16T15:23', '2018-03-16T21:23', '360', '9271', '300', 'LH 745', 'A300', '425', '1', '25'), 
('Frontier Airlines', '2019-02-22T10:16', '2019-02-22T19:18', '542', '4877', '300', 'F9 1707', 'A318', '176', '14', '13'), 
('SAS', '2019-07-29T08:29', '2019-07-29T12:42', '253', '5011', '500', 'SA 1546', 'A300', '284', '11', '18'), 
('American Airlines', '2019-02-17T09:43', '2019-02-18T01:11', '928', '8572', '1000', 'AA 1111', 'SR-71 Blackbird', '579', '1', '13'), 
('Delta Air Lines', '2018-10-05T05:13', '2018-10-05T18:06', '773', '4610', '300', 'DL 1818', 'Boeing 747', '580', '7', '24'), 
('Norwegian', '2018-03-16T09:27', '2018-03-17T01:19', '952', '1879', '500', 'NW 1656', 'A310', '417', '5', '8'), 
('Frontier Airlines', '2018-04-13T02:47', '2018-04-14T06:24', '1657', '1870', '300', 'F9 1502', 'Boeing 737', '516', '28', '27'), 
('American Airlines', '2018-07-20T01:57', '2018-07-20T06:56', '299', '9506', '300', 'AA 498', 'A350', '198', '24', '5'), 
('WOW Air', '2019-06-12T01:49', '2019-06-13T17:01', '2352', '8309', '500', 'WA 1244', 'A220', '259', '9', '12'), 
('Delta Air Lines', '2018-07-28T06:15', '2018-07-28T08:12', '117', '6739', '300', 'DL 1240', 'A310', '121', '8', '16'), 
('Air Canada', '2018-10-27T03:21', '2018-10-28T14:39', '2118', '3303', '300', 'AC 574', 'CRJ705', '354', '27', '17'), 
('Frontier Airlines', '2018-10-28T17:41', '2018-10-29T03:24', '583', '6592', '300', 'F9 1564', 'A350', '391', '11', '26'), 
('Norwegian', '2019-11-25T07:57', '2019-11-26T15:21', '1884', '9050', '300', 'NW 944', 'E-175', '51', '1', '8'), 
('JetBlue Airways', '2019-08-23T23:08', '2019-08-23T24:22', '74', '2245', '500', 'B6 232', 'CRJ705', '144', '14', '5'), 
('Lufthansa', '2018-04-21T08:03', '2018-04-22T02:47', '1124', '4517', '300', 'LH 1297', 'A321', '198', '5', '2'), 
('British Airways', '2018-02-11T06:47', '2018-02-12T02:11', '1164', '8083', '1000', 'BA 1727', 'CRJ900', '456', '6', '22'), 
('Finnair', '2019-12-28T02:32', '2019-12-29T10:10', '1898', '4821', '300', 'FA 865', 'A220', '535', '8', '26'), 
('Frontier Airlines', '2019-08-27T10:41', '2019-08-28T22:30', '2149', '7930', '200', 'F9 1002', 'E-195', '431', '5', '3'), 
('SAS', '2018-09-20T13:03', '2018-09-20T16:19', '196', '5944', '1000', 'SA 313', 'CRJ705', '210', '18', '13'), 
('Norwegian', '2019-12-27T11:07', '2019-12-27T22:23', '676', '869', '500', 'NW 916', 'CRJ700', '339', '9', '24'), 
('Alaska Airlines', '2019-02-05T07:57', '2019-02-06T10:40', '1603', '5868', '500', 'AS 641', 'CRJ700', '232', '4', '3'), 
('Air Canada', '2019-07-24T23:14', '2019-07-24T24:01', '47', '6500', '500', 'AC 119', 'SR-71 Blackbird', '497', '28', '29'), 
('British Airways', '2018-08-09T06:08', '2018-08-10T22:06', '2398', '1627', '500', 'BA 669', 'CRJ1000', '600', '17', '21'), 
('British Airways', '2019-06-03T05:11', '2019-06-04T10:59', '1788', '1641', '500', 'BA 1388', 'A220', '323', '6', '8'), 
('SAS', '2019-04-27T15:23', '2019-04-27T20:47', '324', '1091', '300', 'SA 1006', 'E-195', '349', '13', '15'), 
('Lufthansa', '2019-10-12T07:43', '2019-10-13T14:01', '1818', '2562', '500', 'LH 1091', 'A220', '256', '26', '21'), 
('Frontier Airlines', '2018-04-11T14:13', '2018-04-11T21:19', '426', '3996', '500', 'F9 1609', 'A320', '215', '19', '20'), 
('Lufthansa', '2018-10-15T09:02', '2018-10-15T17:19', '497', '5073', '500', 'LH 1588', 'CRJ900', '169', '1', '12'), 
('Lufthansa', '2018-03-15T12:55', '2018-03-16T15:50', '1615', '6405', '200', 'LH 1134', 'E-190', '131', '14', '22'), 
('SAS', '2018-06-11T21:33', '2018-06-12T21:00', '1407', '6788', '500', 'SA 913', 'A320', '119', '11', '9'), 
('Lufthansa', '2018-06-17T19:42', '2018-06-18T12:25', '1003', '1556', '1000', 'LH 1663', 'Boeing 737', '476', '11', '20'), 
('American Airlines', '2018-04-09T20:53', '2018-04-09T23:37', '164', '4906', '300', 'AA 249', 'E-170', '469', '13', '16'), 
('SAS', '2018-12-18T22:55', '2018-12-19T06:05', '430', '7935', '500', 'SA 1219', 'E-175', '317', '3', '23'), 
('Delta Air Lines', '2019-04-16T22:14', '2019-04-17T20:10', '1316', '5695', '300', 'DL 1595', 'A220', '232', '0', '13'), 
('WOW Air', '2018-05-17T13:40', '2018-05-17T23:52', '612', '7147', '500', 'WA 1320', 'A321', '316', '6', '17'), 
('American Airlines', '2019-09-04T23:31', '2019-09-05T17:44', '1093', '9690', '300', 'AA 1461', 'Boeing 767', '91', '21', '26'), 
('Norwegian', '2018-11-21T17:36', '2018-11-21T20:29', '173', '5006', '300', 'NW 1839', 'E-195', '280', '19', '15'), 
('Lufthansa', '2019-09-02T16:29', '2019-09-03T21:06', '1717', '686', '300', 'LH 306', 'CRJ900', '490', '8', '25'), 
('WOW Air', '2018-10-19T12:40', '2018-10-20T20:27', '1907', '7986', '300', 'WA 1009', 'CRJ900', '119', '11', '24'), 
('Norwegian', '2019-02-27T18:44', '2019-02-27T22:25', '221', '1279', '1000', 'NW 1678', 'A321', '236', '18', '5'), 
('Norwegian', '2019-10-06T07:28', '2019-10-06T21:10', '822', '807', '1000', 'NW 1150', 'A330', '545', '27', '2'), 
('Frontier Airlines', '2018-11-21T17:11', '2018-11-22T00:56', '465', '7317', '500', 'F9 386', 'Boeing 737', '110', '14', '15'), 
('British Airways', '2018-04-15T10:13', '2018-04-16T12:06', '1553', '1792', '300', 'BA 696', 'Boeing 787', '341', '15', '22'), 
('British Airways', '2018-09-04T06:08', '2018-09-04T17:41', '693', '1370', '300', 'BA 1940', 'E-190', '306', '29', '20'), 
('British Airways', '2019-05-12T08:00', '2019-05-12T17:18', '558', '3681', '300', 'BA 1569', 'Boeing 777', '215', '1', '5'), 
('Finnair', '2018-03-28T22:26', '2018-03-29T01:34', '188', '7946', '300', 'FA 1704', 'A320', '163', '29', '12'), 
('WOW Air', '2018-06-15T07:17', '2018-06-15T15:38', '501', '5178', '1000', 'WA 439', 'CRJ700', '566', '4', '17'), 
('WOW Air', '2019-11-21T13:39', '2019-11-22T04:04', '865', '8209', '500', 'WA 1548', 'E-175', '193', '10', '14'), 
('Frontier Airlines', '2018-12-09T01:06', '2018-12-10T12:04', '2098', '3673', '500', 'F9 421', 'A300', '202', '24', '12'), 
('JetBlue Airways', '2019-11-12T17:28', '2019-11-12T20:26', '178', '9178', '300', 'B6 683', 'A300', '497', '17', '26'), 
('American Airlines', '2018-12-16T21:22', '2018-12-17T13:13', '951', '4051', '300', 'AA 524', 'E-195', '222', '21', '17'), 
('Alaska Airlines', '2018-09-24T12:36', '2018-09-25T06:15', '1059', '5768', '500', 'AS 1567', 'A319', '291', '29', '20'), 
('Finnair', '2019-08-20T13:25', '2019-08-20T17:26', '241', '2651', '500', 'FA 1273', 'A300', '597', '15', '20'), 
('American Airlines', '2019-02-12T17:07', '2019-02-12T19:52', '165', '3744', '1000', 'AA 1286', 'Boeing 747', '182', '13', '23'), 
('Frontier Airlines', '2018-11-30T15:32', '2018-11-30T20:28', '296', '1924', '200', 'F9 1421', 'Boeing 737', '100', '17', '3'), 
('SAS', '2019-03-06T04:30', '2019-03-07T13:16', '1966', '9978', '200', 'SA 1080', 'A330', '293', '11', '3'), 
('Frontier Airlines', '2019-11-28T08:31', '2019-11-28T19:07', '636', '7648', '200', 'F9 1121', 'A340', '66', '19', '9'), 
('WOW Air', '2018-02-15T19:09', '2018-02-16T04:50', '581', '9274', '300', 'WA 327', 'A321', '454', '29', '19'), 
('SAS', '2018-10-08T13:43', '2018-10-08T20:46', '423', '1612', '500', 'SA 1838', 'A350', '381', '29', '14'), 
('Finnair', '2019-12-23T08:10', '2019-12-24T19:34', '2124', '8395', '300', 'FA 746', 'Boeing 787', '234', '19', '5'), 
('British Airways', '2019-06-24T18:16', '2019-06-24T20:09', '113', '8928', '200', 'BA 1298', 'SR-71 Blackbird', '112', '9', '22'), 
('Delta Air Lines', '2019-10-03T05:43', '2019-10-04T20:18', '2315', '5648', '300', 'DL 450', 'E-195', '534', '21', '4'), 
('British Airways', '2019-02-28T10:59', '2019-02-28T13:03', '124', '6166', '300', 'BA 1822', 'A220', '449', '22', '7'), 
('Delta Air Lines', '2018-09-09T19:39', '2018-09-10T02:46', '427', '2067', '200', 'DL 483', 'A300', '196', '4', '3'), 
('SAS', '2019-09-02T01:58', '2019-09-02T07:35', '337', '5061', '300', 'SA 1115', 'A220', '441', '19', '22'), 
('Air Canada', '2018-08-18T17:02', '2018-08-19T19:29', '1587', '8264', '1000', 'AC 142', 'SR-71 Blackbird', '546', '5', '20'), 
('Norwegian', '2018-10-23T17:10', '2018-10-23T23:03', '353', '9855', '200', 'NW 622', 'A350', '432', '17', '23'), 
('Alaska Airlines', '2018-02-15T03:29', '2018-02-15T18:28', '899', '1551', '500', 'AS 1195', 'A350', '307', '11', '24'), 
('Air Canada', '2018-01-07T00:28', '2018-01-07T13:15', '767', '9253', '1000', 'AC 193', 'A300', '229', '24', '17'), 
('Finnair', '2018-10-15T20:56', '2018-10-15T23:41', '165', '4855', '500', 'FA 447', 'Boeing 747', '236', '14', '27'), 
('American Airlines', '2018-08-23T00:07', '2018-08-24T02:17', '1570', '1434', '300', 'AA 563', 'Boeing 747', '279', '19', '10'), 
('British Airways', '2018-11-05T19:55', '2018-11-05T22:07', '132', '7707', '300', 'BA 823', 'CRJ705', '59', '17', '7'), 
('British Airways', '2018-09-30T06:14', '2018-09-30T15:23', '549', '2664', '1000', 'BA 603', 'Boeing 767', '338', '8', '19'), 
('Delta Air Lines', '2018-07-20T03:45', '2018-07-21T13:57', '2052', '7234', '500', 'DL 1184', 'A310', '275', '7', '3'), 
('British Airways', '2019-06-06T09:10', '2019-06-07T16:28', '1878', '1175', '200', 'BA 267', 'CRJ705', '134', '14', '17'), 
('Finnair', '2019-11-12T23:01', '2019-11-13T12:52', '831', '3765', '300', 'FA 1271', 'E-175', '414', '8', '2'), 
('Frontier Airlines', '2019-10-09T20:49', '2019-10-10T14:30', '1061', '8662', '300', 'F9 1525', 'A350', '288', '22', '28'), 
('Delta Air Lines', '2019-02-07T06:25', '2019-02-08T17:03', '2078', '9677', '300', 'DL 1966', 'A320', '585', '14', '5'), 
('Alaska Airlines', '2019-08-09T21:08', '2019-08-10T00:39', '211', '6849', '1000', 'AS 874', 'A380', '73', '27', '6'), 
('Frontier Airlines', '2018-02-21T17:32', '2018-02-22T06:21', '769', '3545', '500', 'F9 432', 'A320', '102', '3', '6'), 
('British Airways', '2019-05-21T21:57', '2019-05-21T23:56', '119', '1096', '1000', 'BA 1473', 'E-195', '302', '16', '6'), 
('Finnair', '2019-11-04T23:23', '2019-11-05T05:33', '370', '6100', '300', 'FA 569', 'CRJ900', '347', '13', '5'), 
('Air Canada', '2018-10-02T11:52', '2018-10-03T20:08', '1936', '7718', '1000', 'AC 1717', 'A318', '537', '17', '1'), 
('Lufthansa', '2018-10-08T09:04', '2018-10-09T14:51', '1787', '8395', '300', 'LH 494', 'SR-71 Blackbird', '269', '3', '24'), 
('Frontier Airlines', '2019-12-02T05:43', '2019-12-03T22:36', '2453', '1012', '500', 'F9 1874', 'Boeing 737', '53', '7', '3'), 
('Finnair', '2019-11-28T10:54', '2019-11-28T21:10', '616', '5378', '200', 'FA 628', 'CRJ700', '310', '7', '6'), 
('Norwegian', '2019-02-27T03:05', '2019-02-28T11:02', '1917', '6838', '500', 'NW 1773', 'A340', '206', '29', '4'), 
('WOW Air', '2019-04-25T20:52', '2019-04-25T23:25', '153', '9321', '1000', 'WA 1974', 'A319', '478', '25', '7'), 
('Delta Air Lines', '2019-03-26T01:40', '2019-03-26T07:51', '371', '8044', '200', 'DL 349', 'A300', '582', '23', '11'), 
('Frontier Airlines', '2019-03-02T08:13', '2019-03-02T18:59', '646', '6611', '500', 'F9 1012', 'CRJ1000', '505', '6', '2'), 
('Alaska Airlines', '2019-01-30T22:24', '2019-01-31T22:48', '1464', '4062', '300', 'AS 550', 'E-195', '408', '17', '23'), 
('Alaska Airlines', '2019-01-03T08:32', '2019-01-04T18:45', '2053', '5671', '300', 'AS 1573', 'A300', '204', '20', '5'), 
('British Airways', '2019-09-11T18:04', '2019-09-12T23:06', '1742', '4612', '300', 'BA 512', 'A330', '526', '13', '28'), 
('Norwegian', '2019-09-20T20:58', '2019-09-21T08:37', '699', '7489', '200', 'NW 886', 'A310', '589', '12', '20'), 
('Finnair', '2018-10-15T14:11', '2018-10-15T22:09', '478', '9755', '300', 'FA 1221', 'Boeing 767', '545', '15', '3'), 
('Alaska Airlines', '2019-08-15T08:29', '2019-08-16T06:38', '1329', '2003', '500', 'AS 347', 'Boeing 737', '275', '26', '14'), 
('Lufthansa', '2019-02-18T21:38', '2019-02-19T09:20', '702', '7247', '500', 'LH 1841', 'A220', '453', '23', '17'), 
('Air Canada', '2019-07-12T01:55', '2019-07-13T19:35', '2500', '3802', '1000', 'AC 193', 'Millennium Falcon', '295', '14', '26'), 
('Air Canada', '2018-02-30T13:42', '2018-02-31T07:34', '1072', '2840', '500', 'AC 968', 'A340', '141', '1', '11'), 
('Norwegian', '2018-03-13T12:18', '2018-03-13T17:28', '310', '4167', '300', 'NW 1831', 'A318', '93', '7', '21'), 
('British Airways', '2019-05-19T12:14', '2019-05-20T12:30', '1456', '3833', '1000', 'BA 1475', 'A318', '343', '1', '23'), 
('Frontier Airlines', '2018-12-18T01:03', '2018-12-18T16:32', '929', '5712', '500', 'F9 1515', 'CRJ700', '54', '21', '12'), 
('Frontier Airlines', '2019-01-27T05:18', '2019-01-28T06:04', '1486', '4138', '500', 'F9 1142', 'E-190', '193', '2', '7'), 
('Finnair', '2018-06-22T09:13', '2018-06-22T11:42', '149', '9937', '1000', 'FA 277', 'A340', '50', '22', '24'), 
('Finnair', '2018-11-04T05:19', '2018-11-05T01:42', '1223', '8091', '200', 'FA 1666', 'Boeing 737', '451', '19', '25'), 
('Delta Air Lines', '2019-09-16T04:10', '2019-09-17T18:10', '2280', '8726', '300', 'DL 1774', 'CRJ1000', '171', '20', '21'), 
('British Airways', '2019-03-29T14:47', '2019-03-30T04:32', '825', '8533', '500', 'BA 1513', 'A220', '525', '10', '19'), 
('Lufthansa', '2018-06-06T20:08', '2018-06-07T20:58', '1490', '963', '200', 'LH 1905', 'E-175', '417', '28', '5'), 
('Frontier Airlines', '2019-08-07T18:48', '2019-08-08T22:00', '1632', '792', '300', 'F9 931', 'A319', '65', '9', '22'), 
('Delta Air Lines', '2018-01-25T19:54', '2018-01-26T01:50', '356', '7475', '500', 'DL 1176', 'E-175', '519', '10', '11'), 
('Delta Air Lines', '2018-10-26T18:58', '2018-10-26T23:10', '252', '6025', '200', 'DL 1723', 'CRJ900', '328', '2', '28'), 
('American Airlines', '2019-12-15T03:04', '2019-12-15T21:35', '1111', '4487', '1000', 'AA 535', 'A321', '315', '14', '22'), 
('Alaska Airlines', '2018-08-03T06:16', '2018-08-03T20:44', '868', '1180', '1000', 'AS 788', 'E-170', '106', '28', '11'), 
('JetBlue Airways', '2018-09-22T17:52', '2018-09-22T20:10', '138', '3459', '500', 'B6 355', 'CRJ705', '422', '21', '17'), 
('American Airlines', '2018-07-21T09:55', '2018-07-21T16:32', '397', '2876', '500', 'AA 1995', 'A319', '591', '21', '14'), 
('Delta Air Lines', '2018-06-07T22:30', '2018-06-08T03:02', '272', '4844', '300', 'DL 126', 'CRJ900', '148', '22', '6'), 
('Alaska Airlines', '2018-04-18T15:08', '2018-04-18T21:18', '370', '9444', '500', 'AS 1915', 'A300', '88', '6', '5'), 
('Lufthansa', '2018-04-18T22:45', '2018-04-18T24:47', '122', '7825', '500', 'LH 1052', 'E-170', '163', '14', '16'), 
('British Airways', '2018-10-21T20:57', '2018-10-22T09:18', '741', '8964', '300', 'BA 1097', 'Boeing 787', '512', '8', '29'), 
('SAS', '2018-02-03T07:08', '2018-02-04T18:55', '2147', '7903', '300', 'SA 1350', 'A321', '388', '17', '25'), 
('American Airlines', '2018-02-11T08:06', '2018-02-11T21:05', '779', '2349', '300', 'AA 321', 'A310', '594', '4', '20'), 
('Alaska Airlines', '2018-06-13T04:54', '2018-06-13T18:29', '815', '1499', '500', 'AS 1119', 'A320', '510', '8', '25'), 
('Frontier Airlines', '2019-06-03T09:39', '2019-06-04T19:44', '2045', '2049', '200', 'F9 291', 'A300', '391', '15', '22'), 
('JetBlue Airways', '2019-05-12T11:44', '2019-05-12T17:37', '353', '7266', '300', 'B6 416', 'A300', '358', '5', '4'), 
